FIELD_0	FIELD_1	FIELD_2	FIELD_3	FIELD_4	FIELD_5	FIELD_6	FIELD_7	FIELD_8	FIELD_9	FIELD_10	FIELD_11	FIELD_12	FIELD_13
false	16000	16000	16.23	16.23	'16000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:16.000'	false	16000	16000	16.23	16.23	'16000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:16.000'
false	17000	17000	17.23	17.23	'17000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:17.000'	false	17000	17000	17.23	17.23	'17000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:17.000'
false	18000	18000	18.23	18.23	'18000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:18.000'	false	18000	18000	18.23	18.23	'18000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:18.000'
false	19000	19000	19.23	19.23	'19000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:19.000'	false	19000	19000	19.23	19.23	'19000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:19.000'
false	20000	20000	20.23	20.23	'20000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:20.000'	false	20000	20000	20.23	20.23	'20000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:20.000'
false	21000	21000	21.23	21.23	'21000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:21.000'	false	21000	21000	21.23	21.23	'21000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:21.000'
false	22000	22000	22.23	22.23	'22000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:22.000'	false	22000	22000	22.23	22.23	'22000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:22.000'
false	23000	23000	23.23	23.23	'23000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:23.000'	false	23000	23000	23.23	23.23	'23000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:23.000'
false	24000	24000	24.23	24.23	'24000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:24.000'	false	24000	24000	24.23	24.23	'24000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:24.000'
false	25000	25000	25.23	25.23	'25000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:25.000'	false	25000	25000	25.23	25.23	'25000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:25.000'
false	26000	26000	26.23	26.23	'26000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:26.000'	false	26000	26000	26.23	26.23	'26000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:26.000'
false	27000	27000	27.23	27.23	'27000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:27.000'	false	27000	27000	27.23	27.23	'27000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:27.000'
false	28000	28000	28.23	28.23	'28000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:28.000'	false	28000	28000	28.23	28.23	'28000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:28.000'
false	29000	29000	29.23	29.23	'29000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:29.000'	false	29000	29000	29.23	29.23	'29000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:29.000'
false	30000	30000	30.23	30.23	'30000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:30.000'	false	30000	30000	30.23	30.23	'30000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:30.000'
false	31000	31000	31.23	31.23	'31000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:31.000'	false	31000	31000	31.23	31.23	'31000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:31.000'
false	32000	32000	32.23	32.23	'32000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:32.000'	false	32000	32000	32.23	32.23	'32000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:32.000'
false	33000	33000	33.23	33.23	'33000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:33.000'	false	33000	33000	33.23	33.23	'33000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:33.000'
false	34000	34000	34.23	34.23	'34000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:34.000'	false	34000	34000	34.23	34.23	'34000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:34.000'
false	35000	35000	35.23	35.23	'35000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:35.000'	false	35000	35000	35.23	35.23	'35000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:35.000'
false	36000	36000	36.23	36.23	'36000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:36.000'	false	36000	36000	36.23	36.23	'36000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:36.000'
false	37000	37000	37.23	37.23	'37000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:37.000'	false	37000	37000	37.23	37.23	'37000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:37.000'
false	38000	38000	38.23	38.23	'38000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:38.000'	false	38000	38000	38.23	38.23	'38000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:38.000'
false	39000	39000	39.23	39.23	'39000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:39.000'	false	39000	39000	39.23	39.23	'39000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:39.000'
false	40000	40000	40.23	40.23	'40000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:40.000'	false	40000	40000	40.23	40.23	'40000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:40.000'
false	41000	41000	41.23	41.23	'41000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:41.000'	false	41000	41000	41.23	41.23	'41000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:41.000'
false	42000	42000	42.23	42.23	'42000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:42.000'	false	42000	42000	42.23	42.23	'42000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:42.000'
false	43000	43000	43.23	43.23	'43000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:43.000'	false	43000	43000	43.23	43.23	'43000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:43.000'
false	44000	44000	44.23	44.23	'44000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:44.000'	false	44000	44000	44.23	44.23	'44000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:44.000'
false	45000	45000	45.23	45.23	'45000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:45.000'	false	45000	45000	45.23	45.23	'45000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:45.000'
false	46000	46000	46.23	46.23	'46000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:46.000'	false	46000	46000	46.23	46.23	'46000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:46.000'
false	47000	47000	47.23	47.23	'47000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:47.000'	false	47000	47000	47.23	47.23	'47000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:47.000'
false	48000	48000	48.23	48.23	'48000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:48.000'	false	48000	48000	48.23	48.23	'48000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:48.000'
false	49000	49000	49.23	49.23	'49000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:49.000'	false	49000	49000	49.23	49.23	'49000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:49.000'
false	50000	50000	50.23	50.23	'50000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:50.000'	false	50000	50000	50.23	50.23	'50000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:50.000'
false	51000	51000	51.23	51.23	'51000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:51.000'	false	51000	51000	51.23	51.23	'51000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:51.000'
false	52000	52000	52.23	52.23	'52000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:52.000'	false	52000	52000	52.23	52.23	'52000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:52.000'
false	53000	53000	53.23	53.23	'53000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:53.000'	false	53000	53000	53.23	53.23	'53000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:53.000'
false	54000	54000	54.23	54.23	'54000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:54.000'	false	54000	54000	54.23	54.23	'54000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:54.000'
false	55000	55000	55.23	55.23	'55000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:55.000'	false	55000	55000	55.23	55.23	'55000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:55.000'
false	56000	56000	56.23	56.23	'56000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:56.000'	false	56000	56000	56.23	56.23	'56000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:56.000'
false	57000	57000	57.23	57.23	'57000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:57.000'	false	57000	57000	57.23	57.23	'57000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:57.000'
false	58000	58000	58.23	58.23	'58000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:58.000'	false	58000	58000	58.23	58.23	'58000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:58.000'
false	59000	59000	59.23	59.23	'59000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:59.000'	false	59000	59000	59.23	59.23	'59000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:59.000'
false	60000	60000	60.23	60.23	'60000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:00.000'	false	60000	60000	60.23	60.23	'60000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:00.000'
false	61000	61000	61.23	61.23	'61000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:01.000'	false	61000	61000	61.23	61.23	'61000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:01.000'
false	62000	62000	62.23	62.23	'62000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:02.000'	false	62000	62000	62.23	62.23	'62000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:02.000'
false	63000	63000	63.23	63.23	'63000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:03.000'	false	63000	63000	63.23	63.23	'63000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:03.000'
false	64000	64000	64.23	64.23	'64000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:04.000'	false	64000	64000	64.23	64.23	'64000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:04.000'
false	65000	65000	65.23	65.23	'65000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:05.000'	false	65000	65000	65.23	65.23	'65000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:05.000'
false	66000	66000	66.23	66.23	'66000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:06.000'	false	66000	66000	66.23	66.23	'66000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:06.000'
false	67000	67000	67.23	67.23	'67000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:07.000'	false	67000	67000	67.23	67.23	'67000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:07.000'
false	68000	68000	68.23	68.23	'68000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:08.000'	false	68000	68000	68.23	68.23	'68000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:08.000'
false	69000	69000	69.23	69.23	'69000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:09.000'	false	69000	69000	69.23	69.23	'69000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:09.000'
false	70000	70000	70.23	70.23	'70000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:10.000'	false	70000	70000	70.23	70.23	'70000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:10.000'
false	71000	71000	71.23	71.23	'71000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:11.000'	false	71000	71000	71.23	71.23	'71000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:11.000'
false	72000	72000	72.23	72.23	'72000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:12.000'	false	72000	72000	72.23	72.23	'72000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:12.000'
false	73000	73000	73.23	73.23	'73000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:13.000'	false	73000	73000	73.23	73.23	'73000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:13.000'
false	74000	74000	74.23	74.23	'74000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:14.000'	false	74000	74000	74.23	74.23	'74000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:14.000'
false	75000	75000	75.23	75.23	'75000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:15.000'	false	75000	75000	75.23	75.23	'75000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:15.000'
false	76000	76000	76.23	76.23	'76000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:16.000'	false	76000	76000	76.23	76.23	'76000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:16.000'
false	77000	77000	77.23	77.23	'77000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:17.000'	false	77000	77000	77.23	77.23	'77000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:17.000'
false	78000	78000	78.23	78.23	'78000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:18.000'	false	78000	78000	78.23	78.23	'78000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:18.000'
false	79000	79000	79.23	79.23	'79000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:19.000'	false	79000	79000	79.23	79.23	'79000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:19.000'
false	80000	80000	80.23	80.23	'80000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:20.000'	false	80000	80000	80.23	80.23	'80000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:20.000'
false	81000	81000	81.23	81.23	'81000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:21.000'	false	81000	81000	81.23	81.23	'81000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:21.000'
false	82000	82000	82.23	82.23	'82000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:22.000'	false	82000	82000	82.23	82.23	'82000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:22.000'
false	83000	83000	83.23	83.23	'83000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:23.000'	false	83000	83000	83.23	83.23	'83000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:23.000'
false	84000	84000	84.23	84.23	'84000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:24.000'	false	84000	84000	84.23	84.23	'84000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:24.000'
false	85000	85000	85.23	85.23	'85000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:25.000'	false	85000	85000	85.23	85.23	'85000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:25.000'
